VisitorID,FirstName,LastName,ID_Passport_No,Nationality,WildCardMember,DOB,ContactNo,ModifiedDate
VID-46048,Lerato,Mokoena,E23756669,American,Y,1969-12-27,+27 78 532 1520,2024-01-04 00:00:00
VID-40495,Emma,Smit,7009079928086,South African,Y,1968-05-28,+27 74 703 5557,2024-01-28 00:00:00
VID-30926,Jaco,Williams,K47295260,Dutch,Y,1960-07-31,+27 66 881 6514,2024-04-07 00:00:00
VID-22676,Zanele,Naidoo,8905261711087,South African,Y,1968-04-27,+27 72 180 5803,2024-02-18 00:00:00
VID-35203,Jaco,Smith,B98753260,Dutch,Y,1992-06-11,+27 84 396 2307,2024-03-14 00:00:00
VID-59823,Pieter,Ndlovu,U58966946,Dutch,Y,1980-11-19,+27 71 463 4432,2024-01-13 00:00:00
VID-99593,Chloe,Smith,T95225343,American,Y,1983-12-14,+27 77 846 5010,2024-03-30 00:00:00
VID-45382,Chloe,Pretorius,7711111916083,South African,Y,2001-06-21,+27 70 510 5386,2024-02-18 00:00:00
VID-51245,Lerato,Ndlovu,8211153340084,South African,Y,1978-12-05,+27 67 862 9830,2024-03-13 00:00:00
VID-62350,Zanele,Mokoena,7409162489080,South African,Y,1998-06-08,+27 64 742 3621,2024-03-15 00:00:00
VID-18326,Liam,Williams,T72820592,Dutch,N,1997-11-15,+27 77 981 1188,2024-03-17 00:00:00
VID-80381,Pieter,Naidoo,D49392920,American,N,1970-04-11,+27 65 564 1053,2024-03-28 00:00:00
VID-33416,Emma,Smith,U50056581,American,Y,1983-08-18,+27 64 482 3646,2024-03-05 00:00:00
VID-88504,Zanele,Ndlovu,A25014631,British,N,2007-07-31,+27 69 345 1949,2024-01-01 00:00:00
VID-73699,Sarah,Pretorius,9403058787088,South African,Y,1967-01-24,+27 68 640 7932,2024-01-11 00:00:00
VID-36365,Jaco,Van Wyk,8211217118087,South African,N,2008-05-19,+27 63 353 4681,2024-04-06 00:00:00
VID-87110,Emma,Mokoena,8804012163080,South African,Y,1990-05-01,+27 62 132 6413,2024-01-03 00:00:00
VID-46500,Chloe,Ndlovu,7609058744083,South African,N,2006-02-15,+27 73 294 2545,2024-01-31 00:00:00
VID-65519,Liam,Ndlovu,9712022612080,South African,N,1998-09-02,+27 83 447 2790,2024-02-15 00:00:00
VID-80292,Naledi,Botha,8303098579083,South African,Y,1977-03-10,+27 74 927 2604,2024-01-25 00:00:00
VID-22224,Lerato,Botha,8308164502086,South African,Y,2008-06-30,+27 65 488 1035,2024-01-02 00:00:00
VID-69638,Pieter,Williams,W84593961,German,N,1983-10-17,+27 64 294 5861,2024-04-10 00:00:00
VID-81066,Thabo,Naidoo,7101198811088,South African,Y,1965-03-31,+27 61 620 2312,2024-03-15 00:00:00
VID-87992,Sarah,Mokoena,M26090908,Dutch,Y,1976-09-02,+27 78 708 1651,2024-01-09 00:00:00
VID-96163,Sipho,Smit,Q52462441,British,N,1967-05-10,+27 66 785 6147,2024-02-23 00:00:00
VID-27154,Chloe,Van Wyk,8406252188080,South African,N,1983-10-30,+27 79 676 2638,2024-02-20 00:00:00
VID-76307,Pieter,Botha,9906035002085,South African,N,2008-03-26,+27 65 548 9900,2024-01-28 00:00:00
VID-95717,Emma,Dlamini,V84437458,American,N,1987-02-20,+27 81 206 3200,2024-03-19 00:00:00
VID-82512,Johannes,Van Wyk,7910076617083,South African,N,1970-05-10,+27 76 600 5114,2024-01-14 00:00:00
VID-93136,Liam,Van Wyk,B10475894,Dutch,N,1964-07-22,+27 84 233 5291,2024-01-12 00:00:00
VID-66057,Emma,Dlamini,7302233442088,South African,Y,1999-08-22,+27 71 696 3426,2024-03-11 00:00:00
VID-50404,Zanele,Dlamini,L38195995,German,Y,1971-06-08,+27 81 205 6794,2024-01-06 00:00:00
VID-30257,Lerato,Botha,Z33763566,Dutch,N,1996-06-16,+27 60 283 6442,2024-03-20 00:00:00
VID-42527,Pieter,Botha,Z24508349,Dutch,N,1996-12-08,+27 61 979 8711,2024-03-26 00:00:00
VID-55830,Pieter,Mokoena,7701224164086,South African,N,1977-11-26,+27 68 985 2137,2024-02-28 00:00:00
VID-94080,Emma,Williams,V81969657,Dutch,N,1985-01-15,+27 60 218 5279,2024-02-14 00:00:00
VID-24208,Sipho,Williams,8112266139086,South African,Y,1983-10-25,+27 72 690 4114,2024-01-05 00:00:00
VID-67154,Thabo,Pretorius,9909224228085,South African,N,1963-12-25,+27 62 780 6409,2024-03-31 00:00:00
