ClaimID,TransID,VisitorID,EntryID,CampID,EntryDate,PayorType,AmountWaived,Verified_SA_ID,InsertDate
CLM-126225,TRX-5614226,VID-42098,ENT-39256,KNP-SAT,2025-10-16,SANParks_Subsidy,665.53,9112182458591,2025-10-16 08:00:00
CLM-133326,TRX-1499914,VID-22280,ENT-38657,KNP-SKU,2025-08-27,SANParks_Subsidy,503.75,7009078038374,2025-08-28 04:00:00
CLM-717889,TRX-5667265,VID-10851,ENT-30926,KNP-CRO,2024-08-13,SANParks_Subsidy,388.18,7404256647119,2024-08-14 05:00:00
CLM-498382,TRX-2622631,VID-57052,ENT-55082,KNP-TSE,2024-04-14,SANParks_Subsidy,335.16,7112159996414,2024-04-14 06:00:00
CLM-182627,TRX-5918715,VID-92397,ENT-91070,KNP-BER,2024-05-07,SANParks_Subsidy,554.15,9202024823498,2024-05-08 01:00:00
CLM-996865,TRX-4905582,VID-23238,ENT-59823,KNP-PRE,2024-10-23,SANParks_Subsidy,467.39,9606067210606,2024-10-23 06:00:00
CLM-802729,TRX-5479144,VID-99593,ENT-94939,KNP-MOP,2024-12-29,SANParks_Subsidy,576.39,7509245107245,2024-12-29 14:00:00
CLM-497887,TRX-5528972,VID-93886,ENT-83000,KNP-SKU,2024-06-16,SANParks_Subsidy,629.23,9601081538552,2024-06-17 06:00:00
CLM-380746,TRX-2110460,VID-37653,ENT-84341,KNP-BER,2024-11-19,SANParks_Subsidy,298.84,8507218698256,2024-11-20 02:00:00
CLM-246413,TRX-5137722,VID-83579,ENT-80644,KNP-PRE,2024-05-26,SANParks_Subsidy,672.91,8310137073292,2024-05-26 17:00:00
CLM-634277,TRX-9279821,VID-21915,ENT-16175,KNP-MOP,2024-08-12,SANParks_Subsidy,256.99,7511142065818,2024-08-12 09:00:00
CLM-724834,TRX-8852574,VID-79352,ENT-42953,KNP-SHI,2025-01-29,SANParks_Subsidy,752.55,7011242921859,2025-01-30 01:00:00
CLM-887352,TRX-5476583,VID-94012,ENT-54587,KNP-MOP,2025-11-29,SANParks_Subsidy,355.45,7508015418934,2025-11-30 11:00:00
CLM-632342,TRX-2785277,VID-91959,ENT-49117,KNP-SHI,2025-05-27,SANParks_Subsidy,576.28,7406253710343,2025-05-27 12:00:00
CLM-100599,TRX-6438436,VID-74042,ENT-12552,KNP-MOP,2025-07-06,SANParks_Subsidy,800.37,9805081971823,2025-07-07 10:00:00
CLM-182582,TRX-2437026,VID-73699,ENT-19071,KNP-SHI,2024-09-03,SANParks_Subsidy,686.08,7411163770370,2024-09-04 13:00:00
CLM-736059,TRX-8099076,VID-37760,ENT-80686,KNP-SKU,2024-09-28,SANParks_Subsidy,649.06,8211217264956,2024-09-29 10:00:00
CLM-573417,TRX-3030113,VID-42493,ENT-39451,KNP-MOP,2025-03-24,SANParks_Subsidy,386.66,8809084694634,2025-03-25 10:00:00
CLM-842225,TRX-1987737,VID-40007,ENT-18834,KNP-PUN,2024-01-08,SANParks_Subsidy,751.74,7209085672073,2024-01-08 05:00:00
CLM-324643,TRX-3219824,VID-84847,ENT-85525,KNP-LET,2025-11-16,SANParks_Subsidy,320.1,8507072582524,2025-11-17 08:00:00
CLM-551989,TRX-6944126,VID-65519,ENT-63883,KNP-LET,2024-04-09,SANParks_Subsidy,754.69,7111212651177,2024-04-10 19:00:00
CLM-863587,TRX-6692553,VID-24322,ENT-42591,KNP-SKU,2024-03-03,SANParks_Subsidy,283.15,8403144078418,2024-03-04 02:00:00
CLM-361941,TRX-2264748,VID-68082,ENT-82132,KNP-MOP,2024-10-12,SANParks_Subsidy,185.41,8701034965789,2024-10-13 06:00:00
CLM-609231,TRX-9075854,VID-38016,ENT-62565,KNP-PUN,2024-06-19,SANParks_Subsidy,265.25,7007098633773,2024-06-20 03:00:00
CLM-830429,TRX-9164991,VID-30289,ENT-34890,KNP-PRE,2024-10-19,SANParks_Subsidy,302.39,7110242022698,2024-10-20 04:00:00
CLM-152578,TRX-8999183,VID-75909,ENT-79615,KNP-SAT,2024-11-17,SANParks_Subsidy,189.82,8602284117625,2024-11-17 04:00:00
CLM-171262,TRX-4946066,VID-62923,ENT-25713,KNP-TSE,2024-03-11,SANParks_Subsidy,322.35,8901202375453,2024-03-12 15:00:00
CLM-712024,TRX-9770838,VID-51467,ENT-44179,KNP-SKU,2025-03-05,SANParks_Subsidy,618.81,8004097640184,2025-03-06 19:00:00
CLM-776856,TRX-6033115,VID-69929,ENT-51441,KNP-MOP,2024-05-14,SANParks_Subsidy,156.52,8910042229110,2024-05-15 19:00:00
CLM-630458,TRX-5449324,VID-27361,ENT-55745,KNP-MOP,2025-07-04,SANParks_Subsidy,765.49,8105068351517,2025-07-04 14:00:00
CLM-417212,TRX-9874152,VID-11025,ENT-97538,KNP-SHI,2025-07-10,SANParks_Subsidy,359.57,9102055437001,2025-07-11 22:00:00
CLM-878480,TRX-3607983,VID-45697,ENT-46930,KNP-TSE,2024-04-28,SANParks_Subsidy,297.44,8004225428914,2024-04-28 07:00:00
CLM-363319,TRX-1852264,VID-22097,ENT-93136,KNP-CRO,2025-06-01,SANParks_Subsidy,730.54,7101113194789,2025-06-02 08:00:00
CLM-269430,TRX-8412769,VID-82309,ENT-66057,KNP-SHI,2025-10-14,SANParks_Subsidy,156.77,7212051604451,2025-10-14 17:00:00
CLM-679364,TRX-3484601,VID-66333,ENT-26704,KNP-PUN,2025-01-13,SANParks_Subsidy,365.78,9801124524499,2025-01-14 14:00:00
CLM-799330,TRX-2724590,VID-56357,ENT-83385,KNP-CRO,2025-11-29,SANParks_Subsidy,831.69,9303083726327,2025-11-29 16:00:00
CLM-125990,TRX-4009172,VID-53540,ENT-63964,KNP-SKU,2024-06-30,SANParks_Subsidy,336.76,9512047417985,2024-07-01 03:00:00
CLM-333238,TRX-4348276,VID-70332,ENT-55830,KNP-PRE,2024-02-09,SANParks_Subsidy,724.38,9704081397023,2024-02-10 07:00:00
CLM-517821,TRX-6507321,VID-46517,ENT-19099,KNP-PRE,2025-11-06,SANParks_Subsidy,395.8,8607229996207,2025-11-06 13:00:00
CLM-220944,TRX-5382463,VID-33405,ENT-86099,KNP-PRE,2024-12-05,SANParks_Subsidy,176.78,8907126262632,2024-12-05 02:00:00
CLM-636265,TRX-2940214,VID-60488,ENT-85574,KNP-SKU,2025-03-22,SANParks_Subsidy,328.31,9207019722815,2025-03-23 15:00:00
CLM-854377,TRX-4305700,VID-57739,ENT-66531,KNP-MOP,2025-07-05,SANParks_Subsidy,814.21,9906206266630,2025-07-06 20:00:00
CLM-854717,TRX-6038571,VID-76469,ENT-50538,KNP-CRO,2025-11-10,SANParks_Subsidy,378.33,9205183135534,2025-11-10 08:00:00
CLM-797229,TRX-7361002,VID-98777,ENT-32810,KNP-TSE,2024-07-15,SANParks_Subsidy,548.37,8209271006810,2024-07-16 03:00:00
CLM-320392,TRX-8212326,VID-86019,ENT-89516,KNP-BER,2024-11-07,SANParks_Subsidy,475.49,8411079576076,2024-11-07 19:00:00
CLM-277934,TRX-2422633,VID-47196,ENT-77561,KNP-TSE,2025-04-29,SANParks_Subsidy,384.63,9604226207974,2025-05-01 00:00:00
CLM-254511,TRX-1409790,VID-16057,ENT-42092,KNP-LET,2024-08-18,SANParks_Subsidy,577.89,9402157953166,2024-08-18 13:00:00
CLM-303880,TRX-7442089,VID-74799,ENT-62383,KNP-SKU,2025-10-06,SANParks_Subsidy,253.3,9201252788238,2025-10-07 13:00:00
CLM-284430,TRX-9689889,VID-70889,ENT-16582,KNP-SHI,2025-03-11,SANParks_Subsidy,324.44,9702153237058,2025-03-11 15:00:00
CLM-656932,TRX-6323376,VID-68008,ENT-90301,KNP-SHI,2025-04-20,SANParks_Subsidy,448.72,9909153670226,2025-04-21 19:00:00
CLM-371782,TRX-5147994,VID-93579,ENT-46347,KNP-SHI,2025-05-01,SANParks_Subsidy,489.22,7705152299954,2025-05-02 05:00:00
CLM-384913,TRX-6634586,VID-51904,ENT-80798,KNP-MOP,2024-10-19,SANParks_Subsidy,246.86,7707233563646,2024-10-19 16:00:00
CLM-535020,TRX-7838382,VID-53369,ENT-81121,KNP-LET,2024-08-07,SANParks_Subsidy,441.04,7607131327691,2024-08-07 05:00:00
CLM-600149,TRX-1098919,VID-56105,ENT-49139,KNP-CRO,2025-08-12,SANParks_Subsidy,747.41,9607184700025,2025-08-13 01:00:00
CLM-386193,TRX-8312114,VID-73654,ENT-13804,KNP-CRO,2025-05-14,SANParks_Subsidy,385.29,9107243768991,2025-05-14 15:00:00
CLM-752483,TRX-9961107,VID-13534,ENT-61645,KNP-TSE,2025-04-23,SANParks_Subsidy,545.07,7002218190929,2025-04-23 09:00:00
